City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Finschhafen,PG,-6.6024,147.8681,84.4,77,57,17.31,broken clouds
299,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,72.0,95,100,3.0,overcast clouds
300,Sabha,LY,27.0377,14.4283,51.31,50,0,6.31,clear sky
301,Tilichiki,RU,60.4667,166.1,-0.99,94,98,10.31,overcast clouds
302,Novo Aripuana,BR,-5.1206,-60.3797,72.81,98,97,1.83,overcast clouds
303,Yaval,IN,21.1667,75.7,82.56,20,0,6.46,clear sky
304,Lusambo,CD,-4.9667,23.45,76.33,64,99,0.72,overcast clouds
305,Ahipara,NZ,-35.1667,173.1667,61.32,65,0,13.42,clear sky
306,Quang Ngai,VN,15.1167,108.8,73.49,73,80,9.66,light rain
307,Hofn,IS,64.2539,-15.2082,28.89,87,0,5.64,clear sky
308,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.09,83,0,14.32,clear sky
309,Coihaique,CL,-45.5752,-72.0662,46.4,81,75,2.3,light rain
310,Cabo San Lucas,MX,22.8909,-109.9124,62.01,82,1,6.91,clear sky
311,Gijon,ES,43.5357,-5.6615,59.0,87,100,2.17,overcast clouds
312,Srednekolymsk,RU,67.45,153.6833,-23.76,86,100,5.64,overcast clouds
313,Auki,SB,-8.7676,160.7034,77.25,87,100,7.23,overcast clouds
314,Kutum,SD,14.2,24.6667,62.31,25,0,15.97,clear sky
315,Mahibadhoo,MV,3.7833,72.9667,81.07,73,62,13.09,broken clouds
316,Dingle,PH,10.9995,122.6711,77.41,84,100,11.27,overcast clouds
317,Palu,ID,-0.8917,119.8707,84.61,67,100,3.71,overcast clouds
318,Darhan,MN,49.4867,105.9228,3.38,88,46,1.99,scattered clouds
319,Cururupu,BR,-1.8283,-44.8683,73.99,95,61,0.74,broken clouds
320,Vasterhaninge,SE,59.1167,18.1,24.04,98,100,8.52,overcast clouds
321,Victoria,HK,22.2855,114.1577,71.01,57,0,1.99,clear sky
322,Madruga,CU,22.9114,-81.8561,64.4,72,1,10.36,clear sky
323,Linfen,CN,36.0889,111.5189,48.36,38,100,3.4,overcast clouds
324,Belyy Yar,RU,53.6039,91.3903,30.2,69,100,24.61,snow
325,Saint George,US,37.1041,-113.5841,48.2,40,1,20.71,clear sky
